FID,amenity,name,latitude,longitude
308,restaurant,Bistro Van Gough,15.0853996,120.6350021
309,restaurant,Tiananmen,14.5635996,121.0289993
310,restaurant,Pizza Hut,14.5640001,121.0289993
311,restaurant,Ziggurat Cuisine,14.5635004,121.0289993
312,restaurant,La Tienda,14.5623999,121.0289993
313,restaurant,Dalampasigan Restaurant,14.1824999,121.2239990
314,restaurant,Earl's Deli,14.5616999,121.0159988
315,restaurant,New Bombay,14.5616999,121.0159988
316,restaurant,North Park,14.5506001,121.0559998
317,restaurant,Sunset Bay Garden,16.5900002,120.3020020
318,restaurant,Cecil's Snack Inn,7.0678902,125.6080017
319,restaurant,Sinbad,7.0688801,125.6129990
320,restaurant,Casa Plaza Restaurant,13.9638996,121.5250015
321,restaurant,Don Lauro's Restaurant,13.9625998,121.5260010
322,restaurant,Treat House Restaurant,13.9622002,121.5240021
323,restaurant,Aysee,14.5771999,121.0670013
324,restaurant,Andok's,14.1363001,121.4160004
325,restaurant,Balinsasayaw,9.7353697,118.7480011
326,restaurant,Deloro,9.7370100,118.7649994
327,restaurant,river walk,7.0972199,125.5999985
328,restaurant,Don Henrico's,14.6169996,121.1009979
329,restaurant,Pancake House,14.3552999,121.0439987
330,restaurant,Asmara Restaurant and Bar,10.3449001,123.9110031
331,restaurant,Mountain Bayside,9.7734804,118.7289963
332,restaurant,Ho Chai Lai,14.3818998,121.0449982
333,restaurant,Sizzlers,14.1695995,121.2440033
334,restaurant,Ihaw-Ihaw sa Lawa,14.0818005,121.3259964
335,restaurant,Rose and Grace,14.1111002,121.1439972
336,restaurant,Joven Restaurant & Manila FoodShop,10.3246002,123.9349976
337,restaurant,Big Nico's,14.1724997,121.2429962
338,restaurant,Onyang's Street Wings,14.1704998,121.2440033
339,restaurant,Dimsum vs Sushi,15.0438004,120.6880035
340,restaurant,Cafe Fernandino,15.0335999,120.6869965
341,restaurant,Susie's Cuisine,15.0416002,120.6770020
342,restaurant,Motorista,14.6169004,121.0049973
343,restaurant,5 Aces,14.6136999,121.0009995
344,restaurant,Arabela,14.1316004,121.4359970
345,restaurant,Ichiban-ya,14.5670004,120.9860001
346,restaurant,Akira Ramen,14.5521002,120.9899979
347,restaurant,Tan Tan Men House,14.5565004,121.0189972
348,restaurant,Pizza Hut,14.5539999,120.9980011
349,restaurant,Nemoto Restaurant,14.5545998,120.9980011
350,restaurant,Family Circle Canteen,14.1602001,121.2409973
351,restaurant,Faustina's,14.1682997,121.2409973
352,restaurant,Plaza Pino,10.3318996,123.9000015
353,restaurant,Prosperity Food House,14.0705996,121.3040009
354,restaurant,Ombu Chicken House,7.0760698,125.6210022
355,restaurant,Antonio's Bar & Grill,7.0787902,125.6080017
356,restaurant,Ramzi,14.0720997,121.3259964
357,restaurant,JE'S Mami House,14.0648003,121.3219986
358,restaurant,College Coop Store,14.1646004,121.2409973
359,restaurant,Blackbeard's Seafood Island,14.6093998,121.0810013
360,restaurant,Pasto,14.6096001,121.0810013
361,restaurant,Outback Steakhouse,14.6091995,121.0800018
362,restaurant,TGI Friday's,14.6092997,121.0800018
363,restaurant,Agave Mexican Cantina,14.6094999,121.0810013
364,restaurant,Pho Hoa,14.6086998,121.0810013
365,restaurant,Super Bowl of China,14.6087999,121.0810013
366,restaurant,Aliya Restaurant,15.7653999,121.5660019
367,restaurant,Daniela,14.1688995,121.2440033
368,restaurant,Dhenzmer's Extension,14.1690998,121.2409973
369,restaurant,Mango Grill,14.6981001,120.9530029
