FID,name,latitude,longitude
334,Tala-Novaliches Jeep Terminal,14.7677002,121.0599976
335,Minivan to Roxas,12.3511,121.064003
336,Cubao - Divisoria Jeepney Terminal,14.6213999,121.0490036
337,SM Seaside,10.2817001,123.8809967
338,Midsayap Terminal,7.20646,124.5400009
339,Ceres Bus Stop,10.3830996,123.6470032
340,Bontoc - Buscalan,17.0918999,120.9779968
341,Bontoc - Sadanga,17.0918007,120.9779968
342,Mambog Tricycle Terminal,14.4245005,120.9469986
343,Buhay na Tubig Tricycle Terminal,14.4252005,120.9440002
344,Palico Tricycle Terminal,14.4245996,120.9469986
345,Elavil - Bacon Terminal,13.0393,124.0400009
346,Malinta(Derecho)-Novaliches Jeepney Terminal,14.6932001,120.9670029
347,Francisco Homes Jeepney Terminal,14.8088999,121.0589981
348,One City Link V-Hire Southbound Terminal,10.2814999,123.8820038
349,First North Luzon Transit - San Carlos Terminal,15.9245005,120.348999
350,GL Trans Motorpool,17.0881004,120.9789963
351,D' Rising Sun Motorpool,17.0867996,120.9800034
352,GV Florida - Ballesteros Terminal,18.4092007,121.5139999
353,Paquito Zaragoza Transport Terminal,10.7791004,122.3909988
354,Boac Jeepney Terminal,13.4490004,121.8389969
355,San Antonio-Gapan Jeepney Terminal,15.3070002,120.8580017
356,Sapang TODA,15.3226995,120.9059982
357,San Mariano TODA,15.3221998,120.8779984
358,San Antonio-Cabanatuan Jeepney Terminal,15.3060999,120.8580017
359,San Isidro - San Antonio Jeepney Terminal,15.3094997,120.9039993
360,Sta. Lucia-Quirino Hwy Jeepney Terminal,14.7047997,121.0510025
361,Five Star - San Antonio Terminal,15.3077002,120.8570023
362,North Fairview Tricycle Station,14.7087002,121.0630035
363,Lawang Kupang TODA,15.3170004,120.8649979
364,Homeland-Baluyot Tricycle Station,14.7041998,121.0530014
365,Tricycle Station,15.3063002,120.8580017
366,Maugat TODA,15.3093996,120.8600006
367,West Fairview Tricycle Station,14.7040997,121.0559998
368,Phase 8 Tricycle Station,14.7081003,121.0619965
369,Quirino Highway - Sta. Lucia Jeepney Terminal,14.7086,121.0390015
370,Jeepney Terminal: Hagonoy - Malolos Bayan,14.8355999,120.7340012
371,Jeepney Terminal: Hagonoy - BSU/Malolos Crossing,14.8364,120.7340012
372,Jeepney Terminal: Hagonoy - Robinsons Malolos,14.8367996,120.7340012
373,PUC-Blumentritt Jeepney Terminal,14.6805,121.0100021
374,PUC-Balintawak Jeepney Terminal,14.6803999,121.0100021
375,Tricycle Terminal,14.6802998,121.0179977
376,Jeepney Terminal,14.8817997,120.8659973
377,FX to SM Megamall,14.5492001,121.0630035
378,Sindangan Integrated Bus Station,8.2272301,123.0049973
379,Jeepney Terminal: Malolos - Paombong,14.8434,120.810997
380,Dominion Bus Lines - San Fernando Terminal,16.6096001,120.3170013
381,Bulacan Bus Terminals,14.6106005,120.973999
382,Agila Bus Transport - Divisoria Terminal,14.6073999,120.973999
383,V-HIRE STATION H-MALL,10.2990999,123.9779968
384,V-Hire Station @ SM City,10.3119001,123.9169998
385,V-Hire To Camella Homes,10.3121004,123.9169998
386,CDL Trucking,14.6007004,120.9629974
387,Batangas II,14.4961996,120.598999
388,Beta Terminal,14.5882998,121.1760025
389,SSLTD TODA TERMINAL,14.5854998,121.1760025
390,D' Christ,9.7834597,118.7429962
391,Diplahan Integrated Bus Terminal,7.6975002,122.9850006
392,Hanjin Employees Shuttle Bus Station,14.9347,120.2070007
393,Puerto Galera Jeepney Terminal (Sabang Bound),13.5005999,120.9540024
394,Jeepney Terminal (to Puerto Galera),13.4129,121.1790009
395,Trike Magalang-Dolores Terminal,15.2136002,120.6600037
396,Trike Terminal,15.2514,120.6520004
397,Trike Magalang - San Miguel Terminal,15.2136002,120.6600037
398,Ceres Liner - Moises Padilla Terminal,10.2701998,123.0739975
399,Jeepney Terminal to Robinson Otis,14.5997,121
400,Calinog PUV Terminal,10.7528,122.5400009
401,City Tours,11.7754002,124.8820038
402,DALIN Bus Line - Sampaloc Terminal,14.6056004,120.9950027
403,Jeepney Nagtahan-Otis,14.5995998,121
404,TRICYCLE TODA'S STATION,16.3405991,121.6829987
405,Macsand Van Terminal,16.6889992,121.5459976
406,GV Florida - Maddela Terminal,16.3407993,121.6809998
407,QUICKVAN VAN TERMINAL,16.3414993,121.6809998
408,"MVTC VAN """"MACSAND"""" TERMINAL",16.3409996,121.6819992
409,Bus Station,17.6238003,121.7320023
410,North Luzon Bus Line - Maddela Terminal,16.3418999,121.6819992
411,DALIN BUS TALYER SHOP,16.9165001,121.762001
412,DALIN Bus Line Depot,16.9167995,121.762001
413,Bus Station,11.1468,124.4729996
414,Marikina Transport Terminal,14.6344995,121.0979996
415,Tumana-Balara Jeepney Terminal,14.6535997,121.1019974
416,Tumana-Balara Jeepney Terminal,14.6534004,121.0749969
417,SM Transport Terminal,13.7559004,121.0709991
418,MATSCO San Jose,13.2159996,120.6019974
